,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
48244,Anupam's Coast II Coast,Yes,Yes,4.2,861,Church Street,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",1400,Dine-out
48245,Kebabs & Kurries - ITC Gardenia,No,Yes,4.3,365,Richmond Road,Fine Dining,"North Indian, Mughlai",3500,Dine-out
48246,Cobaja,Yes,Yes,4.2,82,Brigade Road,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",700,Dine-out
48247,Laughing Llama Gastropub,Yes,Yes,4.2,415,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza",1600,Dine-out
48248,Kobe Sizzlers,Yes,No,4.1,1136,Brigade Road,Casual Dining,"American, Continental, Fast Food, Steak",1500,Dine-out
48249,Coconut Grove,No,Yes,3.9,685,Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood",1200,Dine-out
48250,Plan B,No,No,4.1,4448,Brigade Road,"Casual Dining, Pub","American, Continental, BBQ, Steak",1200,Dine-out
48251,Smaaash,No,Yes,4.2,551,MG Road,"Casual Dining, Pub","North Indian, Pizza, Chinese",1500,Dine-out
48252,Season - Adarsh Hamilton,No,Yes,4.3,331,Richmond Road,Casual Dining,"North Indian, Chinese, South Indian, Continental",1200,Dine-out
48254,CafMor'ish,Yes,No,4.1,119,Richmond Road,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",700,Dine-out
48255,Roomali,No,Yes,4.0,184,Church Street,Casual Dining,North Indian,1300,Dine-out
48258,Oye Amritsar,Yes,Yes,4.1,463,Church Street,Casual Dining,North Indian,600,Dine-out
48259,Pecos Classic,No,Yes,4.1,560,Brigade Road,"Pub, Casual Dining",Finger Food,1100,Dine-out
48262,Little Green Cafe,No,No,4.3,797,Church Street,"Cafe, Casual Dining","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,Dine-out
48263,Le Rock,Yes,No,4.1,1222,Brigade Road,Bar,"Continental, Chinese",2000,Dine-out
48266,Cafe Mangii,Yes,Yes,4.3,1055,Lavelle Road,Casual Dining,"Italian, Continental, Pizza",1600,Dine-out
48267,Qissa Khawani,Yes,No,4.3,335,Church Street,Casual Dining,"North Indian, Mughlai",800,Dine-out
48269,Memories of China - Taj MG Road Bengaluru,No,Yes,4.3,457,MG Road,Fine Dining,"Chinese, Momos",3000,Dine-out
48271,Bootlegger,No,No,4.1,1546,Lavelle Road,Pub,"Continental, Steak",1200,Dine-out
48273,Wolf'ish,Yes,No,4.1,488,Church Street,Cafe,"Cafe, American, Italian, Pizza, Burger",700,Dine-out
48274,Somilan Steak House,No,No,4.3,544,Church Street,Casual Dining,"North Eastern, Asian, Naga, Steak, Momos",800,Dine-out
48276,Ice - Taj MG Road Bengaluru,No,Yes,4.1,612,MG Road,Club,Continental,2800,Dine-out
48280,The Flying Squirrel,No,No,4.0,30,Brigade Road,Cafe,Cafe,450,Dine-out
48283,The Courtyard,No,Yes,3.9,305,Shanti Nagar,Cafe,"Cafe, Italian",750,Dine-out
48289,The Egg Factory,Yes,No,4.2,1773,St. Marks Road,Casual Dining,"Continental, American",750,Dine-out
48291,Pizza Hut,Yes,No,3.8,390,Brigade Road,Casual Dining,"Pizza, Fast Food",750,Dine-out
48292,Fusion Lounge,No,No,2.0,398,Brigade Road,Lounge,Finger Food,1500,Dine-out
48294,Chugg,No,Yes,4.0,752,Church Street,Pub,"Finger Food, Continental, Asian, North Indian",1100,Dine-out
48295,Happy Belly Bakes,Yes,No,4.2,121,MG Road,"Cafe, Bakery","Cafe, Bakery",500,Dine-out
48303,Thai House,Yes,No,4.3,131,Brigade Road,Casual Dining,Thai,700,Dine-out
48305,MTR 1924,No,No,4.2,703,St. Marks Road,Quick Bites,South Indian,300,Dine-out
48306,The Oriental Spice - Ashraya Hotel,Yes,No,3.8,159,Infantry Road,Casual Dining,"Chinese, Thai, Indonesian",1300,Dine-out
48307,Revoli Hotel,No,No,3.1,23,Shanti Nagar,Casual Dining,"South Indian, Chinese",450,Dine-out
48309,Shyvan Restaurant,Yes,No,3.7,84,Shanti Nagar,Casual Dining,"North Indian, Chinese",500,Dine-out
48313,The Blackboard Bakery,No,Yes,3.8,98,Lavelle Road,"Cafe, Bakery","Cafe, Bakery, Continental",1000,Dine-out
